dataset,train_size,interface,em,f1,answer_contained,avg_prompt_tokens,truncated_count,elapsed_minutes,summary_path
2wiki,1000,gold_evidence_triples,0.9933333333333333,0.9933333333333333,0.9933333333333333,100.22,0,4.561153590679169,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n1000_gold_evidence_triples_summary.json
2wiki,1000,gold_supporting_sentences,0.72,0.7893756613756614,0.78,154.94333333333333,0,6.206444823741913,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n1000_gold_supporting_sentences_summary.json
2wiki,1000,raw_context,0.6233333333333333,0.6908095238095238,0.6766666666666666,1059.25,0,17.012297129631044,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n1000_raw_context_summary.json
2wiki,1000,raw_crossenc_top5docs,0.5366666666666666,0.6052142857142857,0.5733333333333334,623.8,0,10.96330704689026,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n1000_raw_crossenc_top5docs_summary.json
2wiki,1000,raw_support_first,0.7033333333333334,0.7674391534391535,0.7533333333333333,1059.2466666666667,0,18.748399794101715,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n1000_raw_support_first_summary.json
2wiki,2000,gold_evidence_triples,0.9933333333333333,0.9933333333333333,0.9933333333333333,100.22,0,6.977342585722606,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n2000_gold_evidence_triples_summary.json
2wiki,2000,gold_supporting_sentences,0.7466666666666667,0.8164259259259259,0.7933333333333333,154.94333333333333,0,11.79135758082072,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n2000_gold_supporting_sentences_summary.json
2wiki,2000,raw_context,0.6266666666666667,0.6938095238095238,0.6866666666666666,1059.25,0,21.654714449246725,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n2000_raw_context_summary.json
2wiki,2000,raw_crossenc_top5docs,0.5766666666666667,0.6457142857142857,0.6166666666666667,623.8,0,23.78723487059275,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n2000_raw_crossenc_top5docs_summary.json
2wiki,2000,raw_support_first,0.7066666666666667,0.7723439153439153,0.7533333333333333,1059.2466666666667,0,25.127083412806194,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n2000_raw_support_first_summary.json
