dataset,dataset_label,comparison_name,baseline_interface,baseline_label,comparison_interface,comparison_label,metric,n_paired,baseline_mean,comparison_mean,diff,ci_low,ci_high,prob_diff_gt_zero,prob_diff_lt_zero,bootstrap_samples,baseline_predictions,comparison_predictions
hotpotqa,HotpotQA,support_first_minus_raw,raw_context,Raw context,raw_support_first,Support first,f1,300,0.779705,0.806075,0.02637,0.000621,0.052923,0.9782,0.0218,10000,experiments/outputs/smoke_test_hotpotqa_qwen14b/raw_context_lora_r8_n4000_eval300/predictions.jsonl,experiments/outputs/smoke_test_hotpotqa_qwen14b/raw_support_first_lora_r8_n4000_eval300/predictions.jsonl
hotpotqa,HotpotQA,top5_minus_raw,raw_context,Raw context,raw_ftcrossenc_top5docs,FT cross-enc top-5,f1,300,0.779705,0.76794,-0.011765,-0.044945,0.020883,0.2367,0.7633,10000,experiments/outputs/smoke_test_hotpotqa_qwen14b/raw_context_lora_r8_n4000_eval300/predictions.jsonl,experiments/outputs/smoke_test_hotpotqa_qwen14b/raw_ftcrossenc_top5docs_lora_r8_n4000_eval300/predictions.jsonl
hotpotqa,HotpotQA,oracle_minus_raw,raw_context,Raw context,gold_supporting_sentences,Oracle support,f1,300,0.779705,0.795937,0.016232,-0.020047,0.05312,0.8043,0.1957,10000,experiments/outputs/smoke_test_hotpotqa_qwen14b/raw_context_lora_r8_n4000_eval300/predictions.jsonl,experiments/outputs/smoke_test_hotpotqa_qwen14b/gold_lora_r8_n4000_eval300/predictions.jsonl
2wiki,2WikiMultiHopQA,support_first_minus_raw,raw_context,Raw context,raw_support_first,Support first,f1,300,0.78249,0.821704,0.039214,0.006862,0.073233,0.9903,0.0097,10000,experiments/outputs/smoke_test_2wiki_qwen14b/raw_context_lora_r8_n4000_eval300/predictions.jsonl,experiments/outputs/smoke_test_2wiki_qwen14b/raw_support_first_lora_r8_n4000_eval300/predictions.jsonl
2wiki,2WikiMultiHopQA,top5_minus_raw,raw_context,Raw context,raw_crossenc_top5docs,Cross-enc top-5,f1,300,0.78249,0.662632,-0.119857,-0.169621,-0.070449,0.0,1.0,10000,experiments/outputs/smoke_test_2wiki_qwen14b/raw_context_lora_r8_n4000_eval300/predictions.jsonl,experiments/outputs/smoke_test_2wiki_qwen14b/raw_crossenc_top5docs_lora_r8_n4000_eval300/predictions.jsonl
2wiki,2WikiMultiHopQA,oracle_minus_raw,raw_context,Raw context,gold_supporting_sentences,Oracle support,f1,300,0.78249,0.843989,0.0615,0.019782,0.104478,0.9985,0.0015,10000,experiments/outputs/smoke_test_2wiki_qwen14b/raw_context_lora_r8_n4000_eval300/predictions.jsonl,experiments/outputs/smoke_test_2wiki_qwen14b/gold_lora_r8_n4000_eval300/predictions.jsonl
2wiki,2WikiMultiHopQA,structured_minus_raw,raw_context,Raw context,gold_evidence_triples,Structured triples,f1,300,0.78249,0.993333,0.210844,0.167866,0.254937,1.0,0.0,10000,experiments/outputs/smoke_test_2wiki_qwen14b/raw_context_lora_r8_n4000_eval300/predictions.jsonl,experiments/outputs/smoke_test_2wiki_qwen14b/gold_triples_lora_r8_n4000_eval300/predictions.jsonl
musique,MuSiQue,support_first_minus_raw,raw_context,Raw context,raw_support_first,Support first,f1,300,0.580845,0.650864,0.070019,0.0344,0.105843,1.0,0.0,10000,experiments/outputs/smoke_test_musique_qwen14b/raw_context_lora_r8_n4000_eval300/predictions.jsonl,experiments/outputs/smoke_test_musique_qwen14b/raw_support_first_lora_r8_n4000_eval300/predictions.jsonl
musique,MuSiQue,top5_minus_raw,raw_context,Raw context,raw_crossenc_top5docs,Cross-enc top-5,f1,300,0.580845,0.459478,-0.121367,-0.177436,-0.066271,0.0,1.0,10000,experiments/outputs/smoke_test_musique_qwen14b/raw_context_lora_r8_n4000_eval300/predictions.jsonl,experiments/outputs/smoke_test_musique_qwen14b/raw_crossenc_top5docs_lora_r8_n4000_eval300/predictions.jsonl
musique,MuSiQue,oracle_minus_raw,raw_context,Raw context,gold_supporting_paragraphs,Oracle support,f1,300,0.580845,0.747037,0.166192,0.121676,0.211099,1.0,0.0,10000,experiments/outputs/smoke_test_musique_qwen14b/raw_context_lora_r8_n4000_eval300/predictions.jsonl,experiments/outputs/smoke_test_musique_qwen14b/gold_paragraphs_lora_r8_n4000_eval300/predictions.jsonl
