dataset,dataset_label,model_label,model_id,interface_name,interface_label,train_size,rank,updates,exact_match,f1,answer_contained,avg_prompt_tokens,truncated_count,source_summary,interface_group,interface_group_label,f1_gain_over_raw
hotpotqa,HotpotQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,raw_context,Raw context,4000,8,250,0.626667,0.779705,0.676667,1484.26,1,experiments/outputs/rank_sweep/hotpotqa_qwen14b_r8_n4000_raw_context_summary.json,raw_context,Raw context,0.0
hotpotqa,HotpotQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,raw_support_first,Support first,4000,8,250,0.656667,0.806075,0.69,1484.26,1,experiments/outputs/rank_sweep/hotpotqa_qwen14b_r8_n4000_raw_support_first_summary.json,raw_support_first,Support first,0.02637
hotpotqa,HotpotQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,raw_ftcrossenc_top5docs,FT cross-enc top-5,4000,8,250,0.623333,0.76794,0.67,685.44,0,experiments/outputs/rank_sweep/hotpotqa_qwen14b_r8_n4000_raw_ftcrossenc_top5docs_summary.json,realistic_top5,Realistic top-5,-0.011765
hotpotqa,HotpotQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,gold_supporting_sentences,Oracle support,4000,8,250,0.64,0.795937,0.69,156.16,0,experiments/outputs/rank_sweep/hotpotqa_qwen14b_r8_n4000_gold_supporting_sentences_summary.json,oracle_support,Oracle support,0.016232
2wiki,2WikiMultiHopQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,raw_context,Raw context,4000,8,250,0.713333,0.78249,0.76,1059.25,0,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n4000_raw_context_summary.json,raw_context,Raw context,0.0
2wiki,2WikiMultiHopQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,raw_support_first,Support first,4000,8,250,0.76,0.821704,0.803333,1059.25,0,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n4000_raw_support_first_summary.json,raw_support_first,Support first,0.039214
2wiki,2WikiMultiHopQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,raw_crossenc_top5docs,Cross-enc top-5,4000,8,250,0.6,0.662632,0.633333,623.8,0,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n4000_raw_crossenc_top5docs_summary.json,realistic_top5,Realistic top-5,-0.119858
2wiki,2WikiMultiHopQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,gold_supporting_sentences,Oracle support,4000,8,250,0.776667,0.843989,0.826667,154.94,0,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n4000_gold_supporting_sentences_summary.json,oracle_support,Oracle support,0.061499
2wiki,2WikiMultiHopQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,gold_evidence_triples,Structured triples,4000,8,250,0.993333,0.993333,0.993333,100.22,0,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n4000_gold_evidence_triples_summary.json,structured,Structured triples,0.210843
musique,MuSiQue,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,raw_context,Raw context,4000,8,250,0.47,0.580845,0.496667,2473.21,37,experiments/outputs/rank_sweep/musique_qwen14b_r8_n4000_raw_context_summary.json,raw_context,Raw context,0.0
musique,MuSiQue,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,raw_support_first,Support first,4000,8,250,0.563333,0.650864,0.586667,2473.21,37,experiments/outputs/rank_sweep/musique_qwen14b_r8_n4000_raw_support_first_summary.json,raw_support_first,Support first,0.070019
musique,MuSiQue,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,raw_crossenc_top5docs,Cross-enc top-5,4000,8,250,0.34,0.459478,0.366667,699.58,0,experiments/outputs/rank_sweep/musique_qwen14b_r8_n4000_raw_crossenc_top5docs_summary.json,realistic_top5,Realistic top-5,-0.121367
musique,MuSiQue,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,gold_supporting_paragraphs,Oracle support,4000,8,250,0.643333,0.747037,0.676667,404.9,0,experiments/outputs/rank_sweep/musique_qwen14b_r8_n4000_gold_supporting_paragraphs_summary.json,oracle_support,Oracle support,0.166192
