dataset,dataset_label,model_label,model_id,interface_name,interface_label,train_size,rank,updates,exact_match,f1,answer_contained,avg_prompt_tokens,truncated_count,source_summary,interface_group,interface_group_label
hotpotqa,HotpotQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,no_context,No context,2000,8,125,0.19,0.279808,0.216667,60.71,0,experiments/outputs/rank_sweep/hotpotqa_qwen14b_r8_n2000_no_context_summary.json,no_context,Question only
hotpotqa,HotpotQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,raw_context,Raw context,2000,8,125,0.59,0.747985,0.636667,1484.26,1,experiments/outputs/rank_sweep/hotpotqa_qwen14b_r8_n2000_raw_context_summary.json,raw_context,Raw context
hotpotqa,HotpotQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,raw_ftcrossenc_top5docs,FT cross-enc top-5,2000,8,125,0.61,0.754713,0.653333,685.44,0,experiments/outputs/rank_sweep/hotpotqa_qwen14b_r8_n2000_raw_ftcrossenc_top5docs_summary.json,realistic_top5,Top-5 window
hotpotqa,HotpotQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,raw_support_first,Support first,2000,8,125,0.653333,0.801107,0.69,1484.26,1,experiments/outputs/rank_sweep/hotpotqa_qwen14b_r8_n2000_raw_support_first_summary.json,raw_support_first,Support first
hotpotqa,HotpotQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,gold_supporting_sentences,Oracle support,2000,8,125,0.636667,0.787197,0.693333,156.16,0,experiments/outputs/rank_sweep/hotpotqa_qwen14b_r8_n2000_gold_supporting_sentences_summary.json,oracle_support,Oracle support
2wiki,2WikiMultiHopQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,no_context,No context,2000,8,125,0.27,0.315173,0.293333,57.09,0,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n2000_no_context_summary.json,no_context,Question only
2wiki,2WikiMultiHopQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,raw_context,Raw context,2000,8,125,0.626667,0.69381,0.686667,1059.25,0,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n2000_raw_context_summary.json,raw_context,Raw context
2wiki,2WikiMultiHopQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,raw_crossenc_top5docs,Cross-enc top-5,2000,8,125,0.576667,0.645714,0.616667,623.8,0,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n2000_raw_crossenc_top5docs_summary.json,realistic_top5,Top-5 window
2wiki,2WikiMultiHopQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,raw_support_first,Support first,2000,8,125,0.706667,0.772344,0.753333,1059.25,0,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n2000_raw_support_first_summary.json,raw_support_first,Support first
2wiki,2WikiMultiHopQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,gold_supporting_sentences,Oracle support,2000,8,125,0.746667,0.816426,0.793333,154.94,0,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n2000_gold_supporting_sentences_summary.json,oracle_support,Oracle support
2wiki,2WikiMultiHopQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,gold_evidence_triples,Structured triples,2000,8,125,0.993333,0.993333,0.993333,100.22,0,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n2000_gold_evidence_triples_summary.json,structured,Structured triples
musique,MuSiQue,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,no_context,No context,2000,8,125,0.07,0.143999,0.07,61.48,0,experiments/outputs/rank_sweep/musique_qwen14b_r8_n2000_no_context_summary.json,no_context,Question only
musique,MuSiQue,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,raw_context,Raw context,2000,8,125,0.463333,0.562185,0.483333,2473.21,37,experiments/outputs/rank_sweep/musique_qwen14b_r8_n2000_raw_context_summary.json,raw_context,Raw context
musique,MuSiQue,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,raw_crossenc_top5docs,Cross-enc top-5,2000,8,125,0.33,0.437418,0.343333,699.58,0,experiments/outputs/rank_sweep/musique_qwen14b_r8_n2000_raw_crossenc_top5docs_summary.json,realistic_top5,Top-5 window
musique,MuSiQue,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,raw_support_first,Support first,2000,8,125,0.506667,0.616725,0.54,2473.21,37,experiments/outputs/rank_sweep/musique_qwen14b_r8_n2000_raw_support_first_summary.json,raw_support_first,Support first
musique,MuSiQue,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,gold_supporting_paragraphs,Oracle support,2000,8,125,0.59,0.692406,0.613333,404.9,0,experiments/outputs/rank_sweep/musique_qwen14b_r8_n2000_gold_supporting_paragraphs_summary.json,oracle_support,Oracle support
