dataset,dataset_label,model_label,model_id,interface_name,interface_label,train_size,rank,updates,exact_match,f1,answer_contained,avg_prompt_tokens,truncated_count,source_summary,error
2wiki,2WikiMultiHopQA,Llama-3.2-1B,meta-llama/Llama-3.2-1B-Instruct,gold_evidence_triples,Structured triples,1000,8,63,0.756667,0.761481,0.756667,104.81,0,experiments/outputs/rank_sweep/2wiki_1b_r8_n1000_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-1B,meta-llama/Llama-3.2-1B-Instruct,gold_supporting_sentences,Oracle support,1000,8,63,0.476667,0.532791,0.516667,154.62,0,experiments/outputs/rank_sweep/2wiki_1b_r8_n1000_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-1B,meta-llama/Llama-3.2-1B-Instruct,raw_context,Raw context,1000,8,63,0.343333,0.408366,0.37,1007.97,0,experiments/outputs/rank_sweep/2wiki_1b_r8_n1000_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-1B,meta-llama/Llama-3.2-1B-Instruct,raw_support_first,Support first,1000,8,63,0.41,0.468603,0.443333,1007.97,0,experiments/outputs/rank_sweep/2wiki_1b_r8_n1000_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-1B,meta-llama/Llama-3.2-1B-Instruct,gold_evidence_triples,Structured triples,2000,8,125,0.773333,0.780093,0.776667,104.81,0,experiments/outputs/rank_sweep/2wiki_1b_r8_n2000_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-1B,meta-llama/Llama-3.2-1B-Instruct,gold_supporting_sentences,Oracle support,2000,8,125,0.5,0.556656,0.54,154.62,0,experiments/outputs/rank_sweep/2wiki_1b_r8_n2000_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-1B,meta-llama/Llama-3.2-1B-Instruct,raw_context,Raw context,2000,8,125,0.37,0.430937,0.393333,1007.97,0,experiments/outputs/rank_sweep/2wiki_1b_r8_n2000_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-1B,meta-llama/Llama-3.2-1B-Instruct,raw_support_first,Support first,2000,8,125,0.41,0.477862,0.436667,1007.97,0,experiments/outputs/rank_sweep/2wiki_1b_r8_n2000_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-1B,meta-llama/Llama-3.2-1B-Instruct,gold_supporting_sentences,Oracle support,4000,8,250,0.543333,0.604386,0.586667,154.62,0,experiments/outputs/rank_sweep/2wiki_1b_r8_n4000_core_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-1B,meta-llama/Llama-3.2-1B-Instruct,raw_context,Raw context,4000,8,250,0.41,0.474984,0.44,1007.97,0,experiments/outputs/rank_sweep/2wiki_1b_r8_n4000_core_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-1B,meta-llama/Llama-3.2-1B-Instruct,raw_crossenc_top5docs,Cross-enc top-5,4000,8,250,0.373333,0.429413,0.393333,598.9,0,experiments/outputs/rank_sweep/2wiki_1b_r8_n4000_core_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-1B,meta-llama/Llama-3.2-1B-Instruct,raw_support_first,Support first,4000,8,250,0.46,0.52286,0.496667,1007.97,0,experiments/outputs/rank_sweep/2wiki_1b_r8_n4000_core_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-1B,meta-llama/Llama-3.2-1B-Instruct,raw_crossenc_top5docs,Cross-enc top-5,500,8,32,0.263333,0.327976,0.273333,598.9,0,experiments/outputs/rank_sweep/2wiki_1b_r8_n500_crossenc_top5_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-1B,meta-llama/Llama-3.2-1B-Instruct,gold_evidence_triples,Structured triples,500,8,32,0.72,0.727989,0.723333,104.81,0,experiments/outputs/rank_sweep/2wiki_1b_r8_n500_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-1B,meta-llama/Llama-3.2-1B-Instruct,gold_supporting_sentences,Oracle support,500,8,32,0.443333,0.504204,0.49,154.62,0,experiments/outputs/rank_sweep/2wiki_1b_r8_n500_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-1B,meta-llama/Llama-3.2-1B-Instruct,no_context,No context,500,8,32,0.203333,0.263663,0.22,63.86,0,experiments/outputs/rank_sweep/2wiki_1b_r8_n500_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-1B,meta-llama/Llama-3.2-1B-Instruct,raw_bm25_top5docs,BM25 top-5,500,8,32,0.24,0.296633,0.246667,610.59,0,experiments/outputs/rank_sweep/2wiki_1b_r8_n500_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-1B,meta-llama/Llama-3.2-1B-Instruct,raw_context,Raw context,500,8,32,0.27,0.334651,0.28,1007.97,0,experiments/outputs/rank_sweep/2wiki_1b_r8_n500_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-1B,meta-llama/Llama-3.2-1B-Instruct,raw_support_first,Support first,500,8,32,0.353333,0.424828,0.383333,1007.97,0,experiments/outputs/rank_sweep/2wiki_1b_r8_n500_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,gold_evidence_triples,Structured triples,1000,8,63,0.976667,0.98119,0.976667,104.81,0,experiments/outputs/rank_sweep/2wiki_3b_r8_n1000_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,gold_supporting_sentences,Oracle support,1000,8,63,0.663333,0.7305,0.71,154.62,0,experiments/outputs/rank_sweep/2wiki_3b_r8_n1000_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,raw_context,Raw context,1000,8,63,0.406667,0.476022,0.45,1007.97,0,experiments/outputs/rank_sweep/2wiki_3b_r8_n1000_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,raw_support_first,Support first,1000,8,63,0.55,0.616667,0.593333,1007.97,0,experiments/outputs/rank_sweep/2wiki_3b_r8_n1000_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,gold_evidence_triples,Structured triples,2000,8,125,0.986667,0.989524,0.986667,104.81,0,experiments/outputs/rank_sweep/2wiki_3b_r8_n2000_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,gold_supporting_sentences,Oracle support,2000,8,125,0.74,0.793034,0.78,154.62,0,experiments/outputs/rank_sweep/2wiki_3b_r8_n2000_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,raw_context,Raw context,2000,8,125,0.516667,0.577325,0.556667,1007.97,0,experiments/outputs/rank_sweep/2wiki_3b_r8_n2000_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,raw_support_first,Support first,2000,8,125,0.576667,0.64419,0.613333,1007.97,0,experiments/outputs/rank_sweep/2wiki_3b_r8_n2000_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,gold_supporting_sentences,Oracle support,4000,8,250,0.773333,0.829556,0.82,154.62,0,experiments/outputs/rank_sweep/2wiki_3b_r8_n4000_core_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,raw_context,Raw context,4000,8,250,0.586667,0.657198,0.633333,1007.97,0,experiments/outputs/rank_sweep/2wiki_3b_r8_n4000_core_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,raw_crossenc_top5docs,Cross-enc top-5,4000,8,250,0.523333,0.589159,0.55,598.9,0,experiments/outputs/rank_sweep/2wiki_3b_r8_n4000_core_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,raw_support_first,Support first,4000,8,250,0.673333,0.73196,0.71,1007.97,0,experiments/outputs/rank_sweep/2wiki_3b_r8_n4000_core_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,raw_crossenc_top5docs,Cross-enc top-5,500,8,32,0.4,0.466868,0.44,598.9,0,experiments/outputs/rank_sweep/2wiki_3b_r8_n500_crossenc_top5_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,gold_evidence_triples,Structured triples,500,8,32,0.93,0.933333,0.93,104.81,0,experiments/outputs/rank_sweep/2wiki_3b_r8_n500_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,gold_supporting_sentences,Oracle support,500,8,32,0.603333,0.678926,0.7,154.62,0,experiments/outputs/rank_sweep/2wiki_3b_r8_n500_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,no_context,No context,500,8,32,0.246667,0.291477,0.26,63.86,0,experiments/outputs/rank_sweep/2wiki_3b_r8_n500_summary.json,
