dataset,dataset_label,model_label,model_id,interface_name,interface_label,train_size,rank,updates,exact_match,f1,answer_contained,avg_prompt_tokens,truncated_count,source_summary,note
hotpotqa,HotpotQA,Gemma-2-9B,google/gemma-2-9b-it,gold_supporting_sentences,Oracle support,1000,8,63,0.626667,0.785091,0.69,137.45,0,experiments/outputs/rank_sweep/hotpotqa_gemma2_9b_r8_n1000_short_interfaces_summary.json,
hotpotqa,HotpotQA,Gemma-2-9B,google/gemma-2-9b-it,raw_context,Raw context,1000,8,63,0.556667,0.713403,0.583333,1434.02,1,experiments/outputs/rank_sweep/hotpotqa_gemma2_9b_r8_n1000_long_interfaces_summary.json,
hotpotqa,HotpotQA,Gemma-2-9B,google/gemma-2-9b-it,raw_ftcrossenc_top5docs,FT cross-enc top-5,1000,8,63,0.606667,0.757947,0.636667,654.12,0,experiments/outputs/rank_sweep/hotpotqa_gemma2_9b_r8_n1000_short_interfaces_summary.json,
hotpotqa,HotpotQA,Gemma-2-9B,google/gemma-2-9b-it,raw_support_first,Support first,1000,8,63,0.63,0.775631,0.67,1434.02,1,experiments/outputs/rank_sweep/hotpotqa_gemma2_9b_r8_n1000_long_interfaces_summary.json,
hotpotqa,HotpotQA,Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,gold_supporting_sentences,Oracle support,1000,8,63,0.646667,0.78161,0.69,157.93,0,experiments/outputs/rank_sweep/hotpotqa_llama31_8b_r8_n1000_short_interfaces_summary.json,
hotpotqa,HotpotQA,Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,raw_context,Raw context,1000,8,63,0.58,0.720877,0.606667,1427.71,1,experiments/outputs/rank_sweep/hotpotqa_llama31_8b_r8_n1000_long_interfaces_summary.json,
hotpotqa,HotpotQA,Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,raw_ftcrossenc_top5docs,FT cross-enc top-5,1000,8,63,0.586667,0.726607,0.606667,662.69,0,experiments/outputs/rank_sweep/hotpotqa_llama31_8b_r8_n1000_short_interfaces_summary.json,
hotpotqa,HotpotQA,Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,raw_support_first,Support first,1000,8,63,0.613333,0.759925,0.646667,1427.71,1,experiments/outputs/rank_sweep/hotpotqa_llama31_8b_r8_n1000_long_interfaces_summary.json,
hotpotqa,HotpotQA,Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,gold_supporting_sentences,Oracle support,4000,8,250,0.61,0.771423,0.653333,157.93,0,experiments/outputs/rank_sweep/hotpotqa_3b_r8_n4000_gold_supporting_sentences_summary.json,n4000 small-reader core
hotpotqa,HotpotQA,Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,raw_context,Raw context,4000,8,250,0.576667,0.71893,0.61,1427.71,1,experiments/outputs/rank_sweep/hotpotqa_3b_r8_n4000_raw_context_summary.json,n4000 small-reader core
