dataset,dataset_label,source_id,question,answer,raw_prediction,support_first_prediction,raw_f1,support_first_f1,delta_f1,primary_tag,primary_group,prediction_tag,layout_tag,support_positions_original,doc_count,raw_context_tokens,support_titles,original_titles_prefix
2wiki,2WikiMultiHopQA,18ef81360bde11eba7f7acde48001122,Where was the director of film A Winter Of Cyclists born?,Irish,Munster,Irish,0.0,1.0,1.0,other wrong answer,other wrong answer,other wrong answer,support mid-context,"[4, 6]",10,662,Mike Prendergast; A Winter of Cyclists,Olav Aaraas; Ian Barry (director); Jesse E. Hobson; Peter Levin; Mike Prendergast; S. N. Mathur; A Winter of Cyclists; Alix Madigan; ...
2wiki,2WikiMultiHopQA,410ea9b20bde11eba7f7acde48001122,Where was the place of burial of Princess Barbara Of Prussia's father?,Esparza,Kiel,Esparza,0.0,1.0,1.0,other wrong answer,other wrong answer,other wrong answer,support mid-context,"[1, 3]",10,582,Prince Sigismund of Prussia (1896–1978); Princess Barbara of Prussia,"Prince Albert of Prussia (1809–1872); Prince Sigismund of Prussia (1896–1978); Princess Elisabeth of Prussia; Princess Barbara of Prussia; Emperor Daigo; Christian of Oliva; Sophie, Princess of Prussia; Duchess Anna of Prussia; ..."
2wiki,2WikiMultiHopQA,42f793240bde11eba7f7acde48001122,What nationality is Amytis Of Media's husband?,Babylon,Babylonian,Babylon,0.0,1.0,1.0,all support late,layout bottleneck,partial or near-gold answer,all support late,"[5, 6]",10,399,Nebuchadnezzar II; Amytis of Media,"Iraqi nationality law; Media in Aurora, Colorado; Media in Greeley, Colorado; Media in Anchorage, Alaska; List of Victoria Cross recipients of uncertain nationality; Nebuchadnezzar II; Amytis of Media; Media in Pueblo, Colorado; ..."
2wiki,2WikiMultiHopQA,52bd3f41097011ebbdb0ac1f6bf848b6,"Which film came out earlier, Moscow Chill or Khote Sikkey?",Khote Sikkey,Moscow Chill,Khote Sikkey,0.0,1.0,1.0,support-entity answer,entity or hop confusion,support-entity answer,some support very late,"[0, 7]",10,745,Khote Sikkey; Moscow Chill,Khote Sikkey; The Night of Nights; Life Is What You Make It (film); My Little Eye; Operation Leopard; The Fabulous Senorita; XX/XY; Moscow Chill; ...
2wiki,2WikiMultiHopQA,61276448089411ebbd75ac1f6bf848b6,"Which film has the director died later, Taming Sutton'S Gal or Struggle For Eagle Peak?",Taming Sutton'S Gal,Struggle For Eagle Peak,Taming Sutton'S Gal,0.0,1.0,1.0,support-entity answer,entity or hop confusion,support-entity answer,support split by distractors,"[1, 3, 4, 5]",10,635,Struggle for Eagle Peak; Tancred Ibsen; Lesley Selander; Taming Sutton's Gal,Wilhelm Münter Rolfsen; Struggle for Eagle Peak; Querelle; Tancred Ibsen; Lesley Selander; Taming Sutton's Gal; Eva Bergh; Roger Corman's Operation Rogue; ...
2wiki,2WikiMultiHopQA,79f69dd80bda11eba7f7acde48001122,Where was the father of Deneys Reitz born?,Swellendam,Cape Town,Swellendam,0.0,1.0,1.0,all support late,layout bottleneck,other wrong answer,all support late,"[6, 7]",10,732,Deneys Reitz; Francis William Reitz,Ric Reitz; Cleomenes II; Edgar Reitz; Christian Reitz; Curtis R. Reitz; Erik Reitz; Deneys Reitz; Francis William Reitz; ...
2wiki,2WikiMultiHopQA,7ca3e921086811ebbd5eac1f6bf848b6,"Do both films, The Big Attraction and All Women Have Secrets, have the directors who are from the same country?",yes,no,yes,0.0,1.0,1.0,some support very late,layout bottleneck,other wrong answer,some support very late,"[2, 5, 6, 8]",10,481,The Big Attraction; All Women Have Secrets; Max Reichmann; Kurt Neumann (director),Francis Gouldman; William Henry (actor); The Big Attraction; History of women's rights in South Africa; Yojimbo; All Women Have Secrets; Max Reichmann; Void (film); ...
2wiki,2WikiMultiHopQA,907764820baf11ebab90acde48001122,"Who is Alexander Stewart, 4Th High Steward Of Scotland's paternal grandfather?",Alan fitz Walter,Gille Brigte of Angus,Alan fitz Walter,0.0,1.0,1.0,support split by distractors,layout bottleneck,other wrong answer,support split by distractors,"[2, 5]",10,981,"Alexander Stewart, 4th High Steward of Scotland; Walter Stewart, 3rd High Steward of Scotland","John Stewart of Ralston; John Stewart of Bonkyll; Alexander Stewart, 4th High Steward of Scotland; Gille Críst, Earl of Angus; Alexander Stewart (mayor); Walter Stewart, 3rd High Steward of Scotland; Walter Stewart, 6th High Steward of Scotland; Alan fitz Walter, 2nd High Steward of Scotland; ..."
2wiki,2WikiMultiHopQA,cc6c68e4096511ebbdafac1f6bf848b6,Are both Captain Blood (1960 Film) and Senso '45 from the same country?,yes,no,yes,0.0,1.0,1.0,all support late,layout bottleneck,other wrong answer,all support late,"[8, 9]",10,815,Senso '45; Captain Blood (1960 film),The Proper Time; The Son of Captain Blood; The Subterraneans (film); Captain Blood (1924 film); Fortunes of Captain Blood; Le propre de l'homme; The Time Machine (2002 film); Captain Blood (1935 film); ...
2wiki,2WikiMultiHopQA,cf798e100bd911eba7f7acde48001122,"What is the date of death of Henry Stafford, 1St Baron Stafford's mother?",13 February 1530,12 August 1570,13 February 1530,0.0,1.0,1.0,all support late,layout bottleneck,other wrong answer,all support late,"[6, 7]",10,605,"Henry Stafford, 1st Baron Stafford; Eleanor Percy, Duchess of Buckingham","Thomas Stafford (rebel); Richard Stafford, 1st Baron Stafford of Clifton; Edward Stafford, 3rd Baron Stafford; Ursula Pole, Baroness Stafford; Edmund Stafford, 1st Baron Stafford; Henry Stafford, 2nd Baron Stafford; Henry Stafford, 1st Baron Stafford; Eleanor Percy, Duchess of Buckingham; ..."
