dataset,dataset_label,model_label,model_id,interface_name,interface_label,train_size,rank,updates,exact_match,f1,answer_contained,avg_prompt_tokens,truncated_count,source_summary
hotpotqa,HotpotQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,gold_supporting_sentences,Oracle support,2000,8,125,0.636667,0.787197,0.693333,156.16,0,experiments/outputs/rank_sweep/hotpotqa_qwen14b_r8_n2000_gold_supporting_sentences_summary.json
hotpotqa,HotpotQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,no_context,No context,2000,8,125,0.19,0.279808,0.216667,60.71,0,experiments/outputs/rank_sweep/hotpotqa_qwen14b_r8_n2000_no_context_summary.json
hotpotqa,HotpotQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,raw_bm25_order,BM25 order,2000,8,125,0.61,0.760671,0.663333,1484.26,1,experiments/outputs/rank_sweep/hotpotqa_qwen14b_r8_n2000_raw_bm25_order_summary.json
hotpotqa,HotpotQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,raw_bm25_top5docs,BM25 top-5,2000,8,125,0.526667,0.690203,0.576667,728.41,0,experiments/outputs/rank_sweep/hotpotqa_qwen14b_r8_n2000_raw_bm25_top5docs_summary.json
hotpotqa,HotpotQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,raw_context,Raw context,2000,8,125,0.59,0.747985,0.636667,1484.26,1,experiments/outputs/rank_sweep/hotpotqa_qwen14b_r8_n2000_raw_context_summary.json
hotpotqa,HotpotQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,raw_crossenc_order,Cross-enc order,2000,8,125,0.603333,0.758033,0.663333,1484.27,1,experiments/outputs/rank_sweep/hotpotqa_qwen14b_r8_n2000_raw_crossenc_order_summary.json
hotpotqa,HotpotQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,raw_crossenc_top3docs,Cross-enc top-3,2000,8,125,0.496667,0.632171,0.53,423.91,0,experiments/outputs/rank_sweep/hotpotqa_qwen14b_r8_n2000_raw_crossenc_top3docs_summary.json
hotpotqa,HotpotQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,raw_crossenc_top5docs,Cross-enc top-5,2000,8,125,0.533333,0.673673,0.57,702.45,0,experiments/outputs/rank_sweep/hotpotqa_qwen14b_r8_n2000_raw_crossenc_top5docs_summary.json
hotpotqa,HotpotQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,raw_ftcrossenc_order,FT cross-enc order,2000,8,125,0.61,0.754262,0.656667,1484.26,1,experiments/outputs/rank_sweep/hotpotqa_qwen14b_r8_n2000_raw_ftcrossenc_order_summary.json
hotpotqa,HotpotQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,raw_ftcrossenc_top3docs,FT cross-enc top-3,2000,8,125,0.586667,0.729038,0.63,414.88,0,experiments/outputs/rank_sweep/hotpotqa_qwen14b_r8_n2000_raw_ftcrossenc_top3docs_summary.json
hotpotqa,HotpotQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,raw_ftcrossenc_top5docs,FT cross-enc top-5,2000,8,125,0.61,0.754713,0.653333,685.44,0,experiments/outputs/rank_sweep/hotpotqa_qwen14b_r8_n2000_raw_ftcrossenc_top5docs_summary.json
hotpotqa,HotpotQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,raw_support_first,Support first,2000,8,125,0.653333,0.801107,0.69,1484.26,1,experiments/outputs/rank_sweep/hotpotqa_qwen14b_r8_n2000_raw_support_first_summary.json
hotpotqa,HotpotQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,raw_support_last,Support last,2000,8,125,0.626667,0.788792,0.683333,1484.27,1,experiments/outputs/rank_sweep/hotpotqa_qwen14b_r8_n2000_raw_support_last_summary.json
hotpotqa,HotpotQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,raw_support_middle,Support middle,2000,8,125,0.633333,0.776387,0.676667,1484.26,1,experiments/outputs/rank_sweep/hotpotqa_qwen14b_r8_n2000_raw_support_middle_summary.json
hotpotqa,HotpotQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,raw_support_shuffled,Support shuffled,2000,8,125,0.6,0.75407,0.65,1484.26,1,experiments/outputs/rank_sweep/hotpotqa_qwen14b_r8_n2000_raw_support_shuffled_summary.json
